feature,source_section,requirement_text,verification_objective,test_idea,coverage,priority
Write transaction,A12.2,"Partial tag writes are not permitted, so when AWTAGOP is Update, all WTAGUPDATE bits that correspond to the tags inside the transaction container must be asserted.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A12.2,MTE_Support must be False when: • DATA_WIDTH is 32 or smaller.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A12.2,WTAGUPDATE ceil(DATA_WIDTH/128) - Indicates which tags must be written to memory when AWTAGOP is Update.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A12.3,"Trace signal behavior is IMPLEMENTATION DEFINED, but the following recommendations are given: • A Manager interface can assert the Trace signal along with the address of a transaction that should be tracked through the system.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A12.3,• A Subordinate that receives a request with AWTRACE asserted should assert the BTRACE signal alongside the response.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A12.3,• A Subordinate that receives a request with the ARTRACE signal asserted should assert the RTRACE signal alongside every transfer of the read response.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A12.3,"• For Atomic transactions that require a response on the read channel, the RTRACE signal should be asserted if AWTRACE was asserted.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A12.4,Table A12.19: Loopback signals Name Width Default Description AWLOOP LOOP_W_WIDTH All zeros A user-defined value that must be reflected from a write request to response transfers.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A12.4,ARLOOP LOOP_R_WIDTH All zeros A user-defined value that must be reflected from a read request to response and data transfers.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A12.4,• The value of RLOOP must be identical to the value that was on ARLOOP for all read data transfers.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A12.4,"• For Atomic transactions that require a response on the read channel, the value of RLOOP must be identical to the value that was presented on AWLOOP.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A13.1,"Although all components in the system must use a single physical address space, SMMU components enable different Manager components to operate in their own independent virtual address or intermediate physical address space.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A13.3,"AWMMUATST, ARMMUATST 1 0b0 Indicates that the transaction has already undergone PCIe ATS translation.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A13.4,"• When Ax MMUSECSID is Non-secure, the physical address space must be Non-secure.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.4,"• When Ax MMUSECSID is Secure, the physical address space must be Non-secure or Secure.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.4,"• When Ax MMUSECSID is Realm, the physical address space must be Non-secure or Realm.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.4,"• Requests to the Non-secure Protected or System Agent physical address space must be physically addressed, that means: – When Ax PAS is NSP or SA, Ax MMUVALID must be LOW.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.5,"Table A13.9: Ax MMUPASUNKNOWN signals Name Width Default Description AWMMUPASUNKNOWN, ARMMUPASUNKNOWN 1 0b0 HIGH to indicate that there is no PAS expectation The following rules apply when Ax MMUVALID and Ax MMUPASUNKNOWN are asserted: • Ax MMUSECSID must be Realm.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A13.6,A13.6.2 ATST flow The Address Translation Service Translated (ATST) flow indicates that the transaction has already been translated by Address Translation Services (ATS).,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A13.6,"If a translation fault occurs, the transaction must be terminated with an SLVERR response.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.6,"If a translation fault occurs when using this flow, the Subordinate must terminate the transaction with an SLVERR or OKAY response, even if software has configured the device to be stalled when a translation fault occurs.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.6,"• If TRANSFAULT is used for one response transfer, it must be used for all response transfers of a transaction.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.7,"The rules for using these signals are: • When Ax MMUVALID is asserted, the following signals are constrained: – Ax TAGOP must be 0b00 (Invalid) • When Ax MMUVALID is deasserted, the following signals are not applicable and can take any value: – Ax MMUSECSID – Ax MMUSID – Ax MMUSSIDV – Ax MMUSSID – Ax MMUFLOW – Ax MMUPM – Ax MMUPASUNKNOWN • Translated and untranslated transactions must not use the same ID for in-flight transactions, and this applies to the following: – Transactions with AWMMUVALID asserted and others with AWMMUVALID deasserted.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.9,"Stash Translation Opcode A13.9 Stash Translation Opcode The Stash Translation Opcode is a hint that an MMU should cache the table entry required to process the given address, to reduce the latency for any future transactions using that table entry.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.9,"The requirements on the MMU depend on whether the address is virtual or physical, and if the Realm Management Extension is being used: • If AWMMUVALID is asserted or not present, the Stash Translation request has a virtual address and the MMU should cache the relevant page table entry.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.9,"• If AWMMUVALID is deasserted, the Stash Translation request has a physical address and the MMU should cache the relevant Granule Protection Table entry.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.9,"If RME_Support is False, AWMMUVALID must be asserted for a Stash Translation request.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A13.9,• Stash Translation requests must not use the same AXI ID values that are used by non-Stash Translation transactions on the write channels that are outstanding at the same time.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A13.9,"• An OKAY response indicates that the Stash Translation request has been accepted, not that the translation is stashed.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.10,"The requirements on the MMU depend on whether the address is virtual or physical, and if the Realm Management Extension is being used: • If AWMMUVALID is asserted or not present, the Unstash Translation request has a virtual address and the MMU should deallocate the relevant page table entry.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.10,"• If AWMMUVALID is deasserted, the Stash Translation request has a physical address and the MMU should deallocate the relevant Granule Protection Table entry.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A13.10,"If RME_Support is False, AWMMUVALID must be asserted for an Unstash Translation request.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A13.10,"• AWID is unique-in-flight, which means: – An Unstash Translation request can only be issued if there are no outstanding transactions on the write channels using the same ID value.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A13.10,– A Manager must not issue a request on the write channels with the same ID as an outstanding Unstash Translation transaction.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A13.10,"• An OKAY response indicates that the Unstash Translation request has been accepted, not that the translation is deallocated.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
VALID/READY handshake,A14.1,"Wakeup signals can only be used with Valid-Ready transport, which implies the following: • When AXI_Transport is Credited, Wakeup_Signals must be False.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A14.1,"Interface gating with Valid-Ready transport • If AWAKEUP is asserted in a cycle where AWVALID is asserted and AWREADY is deasserted, then AWAKEUP must remain asserted until AWREADY is asserted.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A14.1,"• If AWAKEUP is asserted in a cycle when ARVALID is asserted and ARREADY is deasserted, then AWAKEUP must remain asserted until ARREADY is asserted.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A14.1,"• After the ARVALID, ARREADY handshake, or the AWVALID, AWREADY handshake, the interconnect must remain active until the transaction has completed.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A14.1,• ACWAKEUP must remain asserted until the associated ACVALID / ACREADY handshake to ensure progress of the DVM transaction.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A14.1,"• After the ACVALID / ACREADY handshake, the Manager must remain active until the DVM transaction has completed.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
Credited transport,A14.2,Transmitters are not required to explicitly return all credits to the receiver before it stops.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,The following rules apply to the Credit_Control property: • Credit_Control must be False if the AXI_Transport property is Ready.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,• Connected interfaces must have the same value for Credit_Control.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,"• The Subordinate might receive credits after entering this state if there is a race between credits and ACTIVATEREQ deassertion, they must be discarded.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,• The Manager must not send transfers or credits.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
General AXI protocol rule,A14.2,• The Subordinate will have no transfers to send because all outstanding transactions must be complete.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Reset behaviour,A14.2,This might be because the Subordinate is idle or because it is required to reconfigure or reset when all outstanding transactions are complete.,Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
Credited transport,A14.2,A14.2.3 Credit control signal rules The following rules apply to the credit control signals: • When ACTIVATEREQ is LOW there must be no outstanding transactions and the Manager must not send transfers.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,"• When ACTIVATEREQ is LOW or ACTIVATEACK is LOW, the Manager must not send credits.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,"• When ACTIVATEACK is LOW, the Subordinate must not send transfers or credits.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Reset behaviour,A14.2,"• ACTIVATEREQ, ACTIVATEACK and ASKSTOP must be LOW during reset.",Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
Credited transport,A14.2,• The Manager must not receive any credits in the STOP state.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,"– If credit signals from the Subordinate have a longer transport delay than ACTIVATEACK, there must be a delay between sending the last credits and deasserting ACTIVATEACK.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,These credits must be discarded.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.2,"Interface gating with credited transport • When registering the VALID signals, the logic must ensure that associated payload signals remain aligned to VALID and the PENDING signals are HIGH in the cycle before VALID is HIGH.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
General AXI protocol rule,A14.2,The following rules apply: • Transfers will not be sent or received.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Credited transport,A14.2,• Credits will not be sent.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.3,"• Due to pipelining, a Subordinate might receive credits during the STOP state, which must be discarded.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.4,"Not all signals are shown, for example PENDING signals must be included on all credited channels.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A14.4,"This must be at least N cycles after the Subordinate sent a credit, where N is the maximum number of cycles that any credit signal is delayed by pipelining.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Read transaction,A15.1,"A DVM Complete transaction is issued on the read request channel (AR) in response to a DVM Synchronization (Sync) message, to indicate that all required operations and any associated transactions have completed.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A15.3,"– If the upper 8 bits are non-zero, then over-invalidation will occur, since the 8-bit ASID agent ignores the upper 8 bits.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.3,"– If the upper 8 bits are nonzero, then over-invalidation will occur, since the 8-bit VMID agent ignores the upper 8 bits.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.3,DVM messages Range field The Range field indicates that an invalidation operates on a range of addresses.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.3,"If the PA is not aligned to the IS value, no TLB entries are required to be invalidated.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.4,• A component issuing a two-part DVM message must be able to issue the second part of the message without requiring a response to the first part of the message.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
VALID/READY handshake,A15.4,"A15.4.2 Snoop channels using Valid-Ready transport When using a Valid-Ready transport, the following rules apply: • ACVALID must only be asserted by a Subordinate when there is valid address and control information.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A15.4,"• When asserted, ACVALID must remain asserted until the rising clock edge after the Manager asserts the ACREADY signal.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A15.4,"• When asserted, CRVALID must remain asserted until the rising clock edge after the Subordinate asserts the CRREADY signal.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A15.4,• The Subordinate must not wait for the Manager to assert ACREADY before asserting ACVALID.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A15.4,• The Manager must wait for both ACVALID and ACREADY to be asserted before it asserts CRVALID to indicate that a valid response is available.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A15.4,• The Manager must not wait for the Subordinate to assert CRREADY before asserting CRVALID.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
General AXI protocol rule,A15.4,In addition: • The Manager must wait for a DVM message request before sending a DVM message response.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.4,"In this case, any additional address information must be ignored and operations performed using only the supported address bits.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.4,"If a component supports a larger VA width than its PA width, the component must take appropriate action regarding the additional physical address bits.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.5,This response must not be dependent on the forward progress of any transactions on the AR or AW channels.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.5,"The Manager must send a DVM Complete in a timely manner, even if it continues to receive more DVM invalidation operations and more DVM Sync messages.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.5,Interconnect (Subordinate Interface) Receiving Manager DVM Sync request response DVM Complete request response AC CR AR R Figure A15.3: DVM Synchronization flow Every DVM Sync message must have one corresponding DVM Complete request.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A15.5,"ARID Must be different from that of any outstanding, non-DVM Complete transaction on the read channels.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A15.5,ARLEN Must be 1 transfer (0x00).,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.5,ARSIZE Must be equal to the data channel width or Max_Transaction_Bytes if that is smaller than the data width.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.5,ARMMUVALID Must be 0b0.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Credited transport,A15.5,"When using credited transport, a DVM Complete message can use any value for ARRP, but all DVM Complete messages on an interface must use the same RP.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Reset behaviour,A15.6,A15.6.1 Coherency Connection Handshake SYSCOREQ and SYSCOACK must be deasserted when ARESETn is asserted.,Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
General AXI protocol rule,A15.6,Table A15.26: Coherency Connection signaling states State SYSCOREQ SYSCOACK Rules Disabled 0 0 Manager: • Must not fetch and use DVM-managed translation table data to perform translations.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.6,Connect 1 0 Manager: • Must not fetch and use DVM-managed translation table data to perform translations.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.6,Any transaction using previously fetched data must have been completed.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.6,Coherency Connection signaling Table A15.26 – Continued from previous page State SYSCOREQ SYSCOACK Rules Disconnect 0 1 Manager: • Must not fetch or use any DVM-managed translation table data.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A15.6,Subordinate: • Must wait for all outstanding DVM messages to receive a response before deasserting SYSCOACK.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A15.6,• Must issue the second part of a 2-part DVM message if the first part has already been issued.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A16.1,In this situation the receiving component must examine all data transfers to determine if the 64-bit granule is poisoned.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A16.2,"• Parity signals must be driven appropriately to all the bits in the associated payload, irrespective of whether those bits are actively used in the transfer.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A16.2,"For example, all bits of WDATACHK must be driven correctly when WVALID is asserted, even if some byte lanes are not being used.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,B2.1,• Data width must be 128b (DATA_WIDTH = 128).,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,B2.1,• Length must be 1 or 4 transfers.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,B2.1,"• Memory type must be Write-back, that is Ax CACHE[1:0] is 0b11 and Ax CACHE[3:2] is not 0b00.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,B2.4,Summary of ID constraints Must use an ID that is unique in-flight on the same channels: • Atomic transactions • Prefetch transactions • Write Zero transactions • Write Deferrable transactions • Invalidate Hint transactions • Read transactions with data chunking enabled • Transactions which transport MTE tags • Unstash Translation transactions • ACT transactions Must not use the same ID for in-flight transactions on the same channels: • DVM Complete and non-DVM Complete transactions • Stash Once and non-Stash Once transactions • Translated and untranslated transactions • Stash Translation and non-Stash Translation transactions Must use the same ID: • Multiple outstanding requests that require ordering between them.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,B4.1,Correction BIDUNQ is not required to follow AWIDUNQ for non-Completion write responses such as Persist and MTE Match.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,B4.1,Memory Tagging Extension (MTE) Clarification A Write Ptl CMO or Write Full CMO with AWTAGOP Transfer must be Non-shareable.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,B4.1,Additional requirement Read transactions with the MTE opcode of Fetch must be Regular.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,B4.1,"Read response Clarification For read responses where data is not required to be valid, the Manager might still sample the RDATA value so the Subordinate should not rely on the response to hide sensitive data.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,B4.1,"Cache stashing Correction ""AWSTASHLPIDEN must be driven to all zeros when AWSTASHLPIDEN is deasserted"" is corrected to: ""When AWSTASHLPIDEN is LOW, AWSTASHLPID is invalid and must be zero"" ARM IHI 0022 Issue L Copyright © 2003-2025 Arm Limited or its affiliates.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,B4.2,Write channel dependency Clarification It is clarified that a Subordinate must not block acceptance of data-less write requests due to transactions with leading write data.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,B4.2,Exclusive accesses Clarification It is clarified that AWATOP must not be Match for exclusive writes.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,B4.2,Differences between Issue J and Issue K Table B4.2 – Continued from previous page Feature Change Detail Memory Tagging Clarification A footnote is added to Table A12.13 to clarify that a Write No Snoop with tag Match must not be Exclusive.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,B4.2,"Interface parity for CRTRACE Correction In Table A16.4, the enable signal for CRTRACECHK was indicated as ACVALID when it should be CRVALID.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,B4.2,"Read Interleaving Disabled and AXI5-Lite Correction Read_Interleaving_Disabled was incorrectly constrained to True for AXI5-Lite interfaces, it should be False.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Reset behaviour,B4.3,Reset Clarification It is clarified that all signals that are required to be deasserted during reset must wait until at least the rising ACLK edge after ARESETn is HIGH.,Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
General AXI protocol rule,B4.3,"Transaction address calculation Correction The expression to determine the address states for a wrap transaction has been corrected to: Address_N = Aligned_Addr + ((N - 1) * Size) - (Size * Length) Wrapping bursts New feature New property Wrap_CLS_Modifiable, used to determine whether WRAP transactions must be cache line sized and Modifiable.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,B4.3,Memory Tagging Extension (MTE) Clarification If is clarified that transactions that carry tags must be physically addressed.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,B4.3,"Correction In the example of a Non-shareable Write Full CMO with Clean Invalid, all in-line and peer caches must be cleaned and invalidated because the CMO is considered to be shareable.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
